fecha,efectivo,invertido,total,posiciones,spy
2017-07-13,10000.0,0.0,10000.0,0,10000.0
2017-07-14,10000.0,0.0,10000.0,0,10046.64
2017-07-17,7496.25,2502.62,9998.87,1,10045.41
2017-07-18,4994.18,5024.75,10018.93,2,10050.73
2017-07-19,4994.18,5025.43,10019.61,2,10105.14
2017-07-20,4994.18,5037.53,10031.71,2,10109.64
2017-07-21,2481.35,7544.75,10026.1,3,10100.64
2017-07-24,2481.35,7554.24,10035.59,3,10098.19
2017-07-25,2481.35,7626.85,10108.2,3,10122.74
2017-07-26,2481.35,7621.53,10102.88,3,10123.14
2017-07-27,5072.41,5159.39,10231.8,2,10113.74
2017-07-28,2506.17,7742.67,10248.84,3,10101.87
2017-07-31,2506.17,7765.71,10271.88,3,10096.14
2017-08-01,2506.17,7788.36,10294.52,3,10118.65
2017-08-02,5153.23,5142.48,10295.71,2,10123.56
2017-08-03,5153.23,5150.7,10303.93,2,10103.92
2017-08-04,5153.23,5167.87,10321.1,2,10122.33
2017-08-07,5153.23,5167.87,10321.11,2,10141.15
2017-08-08,5153.23,5147.1,10300.33,2,10116.19
2017-08-09,5153.23,5186.98,10340.21,2,10115.78
2017-08-10,5153.23,5150.69,10303.92,2,9972.99
2017-08-11,7642.17,2683.32,10325.5,1,9987.72
2017-08-14,2752.98,7556.05,10309.03,4,10086.73
2017-08-15,2752.98,7500.83,10253.81,4,10085.51
2017-08-16,2752.98,7557.86,10310.84,4,10103.1
2017-08-17,2752.98,7411.81,10164.79,4,9945.58
2017-08-18,5304.44,4835.15,10139.58,3,9930.04
2017-08-21,5304.44,4854.31,10158.75,3,9937.81
2017-08-22,199.43,10028.59,10228.01,5,10041.73
2017-08-23,199.43,10038.32,10237.75,5,10005.73
2017-08-24,199.43,10031.47,10230.89,5,9982.41
2017-08-25,199.43,10079.37,10278.8,5,10005.73
2017-08-28,199.43,10078.66,10278.09,5,10006.14
2017-08-29,199.43,10065.7,10265.13,5,10017.59
2017-08-30,199.43,10156.35,10355.78,5,10065.05
2017-08-31,199.43,10307.28,10506.7,5,10125.6
2017-09-01,199.43,10322.61,10522.03,5,10139.92
2017-09-05,5304.9,5255.86,10560.76,2,10067.1
2017-09-06,5304.9,5332.98,10637.87,2,10101.46
2017-09-07,5347.71,5263.0,10610.72,2,10100.24
2017-09-08,5347.71,5268.31,10616.02,2,10088.37
2017-09-11,5339.04,5324.0,10663.04,2,10195.97
2017-09-12,5339.04,5367.94,10706.98,2,10230.34
2017-09-13,5339.04,5379.98,10719.02,2,10235.25
2017-09-14,5339.04,5369.4,10708.45,2,10231.98
2017-09-15,5339.04,5408.43,10747.47,2,10245.75
2017-09-18,5339.04,5470.58,10809.63,2,10267.54
2017-09-19,5339.04,5523.85,10862.9,2,10277.82
2017-09-20,8148.89,2757.36,10906.24,1,10281.52
