ticker,sector,fecha_entrada,precio_entrada,stop,objetivo,cantidad,fecha_salida,precio_salida,motivo_salida,dias,pnl_usd,r_multiple
MSTR,Financieras,2024-07-12,133.92,114.7519,172.2563,5.217,2024-07-19,172.2563,OBJETIVO,5,197.6,1.98
META,Tecnología,2024-07-19,472.5127,441.8298,533.8786,3.3379,2024-07-25,441.8298,STOP,4,-106.99,-1.04
LLY,Salud,2024-07-22,851.6676,803.8076,947.3876,2.1401,2024-07-25,803.8076,STOP,3,-107.74,-1.05
UBER,Tecnología,2024-07-22,67.53,62.6139,77.3622,20.8343,2024-07-30,62.6139,STOP,6,-106.49,-1.04
CVX,Energía / Industria,2024-07-12,142.1306,137.4911,151.4095,17.5895,2024-08-02,137.4911,STOP,15,-88.98,-1.09
TSM,Tecnología,2024-07-26,159.7521,145.5244,188.2074,6.9855,2024-08-02,145.5244,STOP,5,-102.59,-1.03
NU,Latam / Brasil,2024-08-01,12.07,11.2628,13.6844,121.1093,2024-08-02,11.1,STOP (gap),1,-121.69,-1.24
GOOGL,Tecnología,2024-07-30,168.8289,160.5602,185.3661,11.9237,2024-08-05,154.211,STOP (gap),4,-180.08,-1.83
LLY,Salud,2024-08-01,820.9611,769.149,924.5852,1.8868,2024-08-05,746.4894,STOP (gap),2,-144.95,-1.48
META,Tecnología,2024-08-02,485.3563,449.6012,556.8664,2.6461,2024-08-05,447.9869,STOP (gap),1,-102.59,-1.08
NU,Latam / Brasil,2024-08-07,11.345,10.3122,13.4106,89.1535,2024-08-14,13.4106,OBJETIVO,5,180.85,1.96
VIST,Latam / Brasil,2024-08-06,41.0,36.4443,50.1114,20.0653,2024-08-15,50.1114,OBJETIVO,7,180.08,1.97
PG,Consumo,2024-08-02,158.6454,152.6065,170.7231,14.9095,2024-08-23,160.2846,TIEMPO,15,17.31,0.19
BAC,Financieras,2024-08-07,36.211,34.1354,40.3622,44.3623,2024-08-28,37.9693,TIEMPO,15,73.06,0.79
C,Financieras,2024-08-07,55.2676,51.4115,62.9796,23.8792,2024-08-28,58.5074,TIEMPO,15,73.29,0.8
MSFT,Tecnología,2024-08-14,407.6146,388.676,445.4917,5.0409,2024-09-05,402.0389,TIEMPO,15,-34.23,-0.36
GOOGL,Tecnología,2024-08-16,160.1316,151.3167,177.7612,10.9353,2024-09-06,151.3167,STOP,14,-101.5,-1.05
GOOGL,Tecnología,2024-09-06,155.9961,148.2537,171.481,12.2532,2024-09-09,148.2537,STOP,1,-100.46,-1.06
CAT,Energía / Industria,2024-09-10,326.945,311.2064,358.4221,6.0078,2024-09-19,358.4221,OBJETIVO,7,182.93,1.93
AVGO,Tecnología,2024-09-10,138.3612,122.5055,170.0725,5.9635,2024-09-23,170.0725,OBJETIVO,9,186.35,1.97
MSTR,Financieras,2024-09-05,122.35,101.2582,164.5336,4.5408,2024-09-26,164.5336,OBJETIVO,15,189.59,1.98
NVDA,Tecnología,2024-09-06,107.7417,94.1191,134.9868,6.9642,2024-09-27,121.0751,TIEMPO,15,90.47,0.95
JPM,Financieras,2024-09-12,199.2772,189.2695,219.2925,9.6883,2024-10-03,196.9547,TIEMPO,15,-28.26,-0.29
PEP,Consumo,2024-09-24,158.2152,152.9987,168.6483,15.8918,2024-10-15,162.7583,TIEMPO,15,64.55,0.78
LLY,Salud,2024-10-01,876.556,832.1583,965.3512,2.2674,2024-10-22,896.5953,TIEMPO,15,39.41,0.39
VIST,Latam / Brasil,2024-10-02,46.5,42.338,54.8239,24.1331,2024-10-23,47.74,TIEMPO,15,26.51,0.26
NU,Latam / Brasil,2024-10-07,13.18,12.2796,14.9808,111.4675,2024-10-23,14.9808,OBJETIVO,12,196.02,1.95
TSLA,Tecnología,2024-10-15,220.01,198.15,263.7299,4.7134,2024-10-25,263.7299,OBJETIVO,8,202.65,1.97
PFE,Salud,2024-10-07,25.6457,24.7356,27.466,97.8371,2024-10-28,25.2004,TIEMPO,15,-51.03,-0.57
KO,Consumo,2024-10-31,62.234,60.209,66.2841,41.9391,2024-11-06,60.209,STOP,4,-92.63,-1.09
TSLA,Tecnología,2024-10-25,256.01,233.4157,301.1986,4.6435,2024-11-08,301.1986,OBJETIVO,10,205.95,1.96
MCD,Consumo,2024-10-29,283.5202,272.9391,304.6824,9.2918,2024-11-19,276.9752,TIEMPO,15,-68.63,-0.7
IBM,Tecnología,2024-11-01,196.9414,188.5859,213.6522,12.4804,2024-11-22,213.6522,OBJETIVO,15,200.87,1.93
XOM,Energía / Industria,2024-11-05,111.6876,107.2443,120.5743,14.4707,2024-11-26,111.5557,TIEMPO,15,-6.75,-0.11
HD,Consumo,2024-11-08,383.776,368.001,415.3259,3.6334,2024-11-26,415.3259,OBJETIVO,12,110.28,1.92
BRK-B,Financieras,2024-11-06,461.0,448.9059,485.1882,5.4611,2024-11-27,485.1882,OBJETIVO,15,124.34,1.88
NU,Latam / Brasil,2024-11-22,13.43,12.2903,15.7094,95.4545,2024-12-02,12.13,STOP (gap),5,-127.75,-1.17
BABA,China,2024-11-19,84.9313,78.9225,96.9489,17.7481,2024-12-11,86.7048,TIEMPO,15,26.91,0.25
AVGO,Tecnología,2024-11-26,161.7983,151.8544,181.6862,11.0364,2024-12-11,181.6862,OBJETIVO,10,213.8,1.95
XOM,Energía / Industria,2024-12-06,108.3122,104.503,115.9308,25.6649,2024-12-13,104.503,STOP,5,-105.96,-1.08
MCD,Consumo,2024-11-26,282.9486,273.1074,302.631,9.6966,2024-12-18,278.7851,TIEMPO,15,-48.54,-0.51
MELI,Latam / Brasil,2024-12-11,1897.97,1764.3168,2165.2763,0.827,2024-12-18,1764.3168,STOP,5,-115.07,-1.04
MELI,Latam / Brasil,2024-12-18,1819.5,1698.4225,2061.6551,0.8971,2024-12-19,1698.4225,STOP,1,-113.35,-1.04
TSM,Tecnología,2024-12-03,188.8382,177.1793,212.1561,9.3198,2024-12-24,201.9985,TIEMPO,15,117.19,1.08
PG,Consumo,2024-12-24,159.7497,155.253,168.7431,11.7492,2025-01-06,155.1656,STOP (gap),7,-59.41,-1.12
MELI,Latam / Brasil,2025-01-06,1851.3,1735.0531,2083.7939,0.9318,2025-01-08,1735.0531,STOP,2,-113.33,-1.05
BRK-B,Financieras,2024-12-18,457.06,444.6953,481.7895,5.9411,2025-01-10,444.6953,STOP,14,-81.5,-1.11
ORCL,Tecnología,2024-12-20,164.4915,153.8113,185.8519,10.0526,2025-01-10,153.8113,STOP,12,-112.16,-1.04
JPM,Financieras,2024-12-20,223.9324,215.1536,241.49,11.9862,2025-01-15,243.0246,OBJETIVO (gap),15,220.45,2.1
CAT,Energía / Industria,2024-12-23,357.2588,339.3539,393.0688,5.3112,2025-01-16,372.6118,TIEMPO,15,75.73,0.8
HD,Consumo,2025-01-10,371.3868,357.7466,398.6671,7.0713,2025-01-21,398.6671,OBJETIVO,6,184.74,1.92
ORCL,Tecnología,2025-01-10,156.51,148.3954,172.7392,12.9454,2025-01-22,188.274,OBJETIVO (gap),7,404.5,3.85
NFLX,Tecnología,2025-01-14,84.32,80.1116,92.7367,14.5614,2025-01-22,99.803,OBJETIVO (gap),5,221.43,3.61
CRM,Tecnología,2025-01-22,326.8604,309.6374,361.3064,6.7675,2025-01-28,361.3064,OBJETIVO,4,226.13,1.94
DIS,Consumo,2025-01-21,105.123,101.249,112.871,26.7368,2025-01-30,112.871,OBJETIVO,7,198.41,1.92
BRK-B,Financieras,2025-01-15,455.55,442.9131,480.8237,5.9545,2025-02-06,477.22,TIEMPO,15,120.7,1.6
MCD,Consumo,2025-01-16,268.5875,259.6123,286.538,8.0597,2025-02-07,282.0629,TIEMPO,15,101.95,1.41
NFLX,Tecnología,2025-01-22,99.803,94.9011,109.6069,16.7016,2025-02-12,102.731,TIEMPO,15,43.83,0.54
VIST,Latam / Brasil,2025-02-14,51.85,47.2539,61.0422,26.9606,2025-02-18,47.2539,STOP,1,-127.92,-1.03
AAPL,Tecnología,2025-01-28,229.1868,218.1623,251.2359,10.6368,2025-02-19,243.3731,TIEMPO,15,143.36,1.22
CAT,Energía / Industria,2025-02-05,356.6031,337.3169,395.1754,6.3304,2025-02-21,337.3169,STOP,11,-128.68,-1.05
PYPL,Tecnología,2025-02-13,75.5277,70.2866,86.0101,23.519,2025-02-27,70.2866,STOP,9,-128.41,-1.04
AMZN,Tecnología,2025-02-26,214.94,203.822,237.1761,10.8462,2025-03-03,203.822,STOP,3,-127.4,-1.06
TSLA,Tecnología,2025-03-03,300.34,261.4566,378.1068,3.0324,2025-03-06,261.4566,STOP,3,-120.47,-1.02
HD,Consumo,2025-02-26,377.4316,360.2893,411.7161,7.0346,2025-03-07,360.2893,STOP,7,-128.37,-1.06
WMT,Consumo,2025-02-26,96.1613,91.623,105.238,26.5709,2025-03-07,91.623,STOP,7,-128.07,-1.06
CRM,Tecnología,2025-02-27,292.4129,274.622,327.9947,6.6876,2025-03-07,274.622,STOP,6,-124.67,-1.05
C,Financieras,2025-03-06,69.3086,64.5633,78.7992,24.5032,2025-03-10,64.5633,STOP,2,-121.2,-1.04
DIS,Consumo,2025-03-10,102.5023,97.0054,113.4961,20.3961,2025-03-11,97.0054,STOP,1,-118.22,-1.05
META,Tecnología,2025-03-12,626.3076,577.2071,724.5086,2.2756,2025-03-18,577.2071,STOP,4,-115.84,-1.04
MSTR,Financieras,2025-02-27,267.43,220.1272,362.0356,2.5152,2025-03-20,302.07,TIEMPO,15,84.98,0.71
AVGO,Tecnología,2025-03-10,186.8721,164.325,231.9665,4.9725,2025-03-31,162.614,STOP (gap),15,-123.23,-1.1
C,Financieras,2025-03-12,66.3938,61.3443,76.4928,22.1273,2025-04-02,69.2604,TIEMPO,15,58.93,0.53
