entrada,objetivo_r,max_dias_en_posicion,filtro_mercado,in_operaciones,in_r_promedio (expectancy),in_retorno_anual (CAGR),in_max_drawdown,in_retorno/caida (MAR),in_spy_retorno_anual,out_operaciones,out_r_promedio (expectancy),out_retorno_anual (CAGR),out_max_drawdown,out_retorno/caida (MAR),out_spy_retorno_anual
ruptura_20,5.0,20,sí,345,0.19918840579710145,0.08433173840700281,-0.1826281177382425,0.46176754955046917,0.10449248330685457,298,0.1598657718120805,0.11841601213186448,-0.18360429634504172,0.6449522940864577,0.22220661600031755
ruptura_55,3.0,40,no,290,0.2158620689655172,0.08172318386017996,-0.19137017657082112,0.42704242282985166,0.10449248330685457,234,0.09987179487179483,0.05034051991712207,-0.1886559320179173,0.2668377261115811,0.22220661600031755
ruptura_55,5.0,40,no,259,0.20555984555984555,0.0801537794758227,-0.18850237588890917,0.42521362979032173,0.10449248330685457,196,0.21964285714285714,0.08777161171494652,-0.19394696081411678,0.4525547157146167,0.22220661600031755
ruptura_55,5.0,40,sí,230,0.21743478260869561,0.08225118161787259,-0.20553478003868764,0.40018132990625976,0.10449248330685457,190,0.15273684210526312,0.05402811246580108,-0.14763192260295388,0.3659649722987491,0.22220661600031755
retroceso,3.0,40,no,272,0.216360294117647,0.08319579483489381,-0.2126781472684086,0.39118167946938753,0.10449248330685457,208,0.17725961538461538,0.1053624292255293,-0.18392143389218552,0.5728665060717861,0.22220661600031755
ruptura_20,5.0,40,no,275,0.2855272727272727,0.10559067880359718,-0.27316531527684096,0.38654497074998595,0.10449248330685457,209,0.23090909090909087,0.08794776869238752,-0.22379627008719238,0.39298138730427695,0.22220661600031755
ruptura_55,5.0,20,sí,326,0.16923312883435582,0.0691913044525887,-0.1908225826621558,0.36259494807849496,0.10449248330685457,282,0.09592198581560284,0.06941229915269398,-0.16056642696129064,0.43229646736442545,0.22220661600031755
retroceso,5.0,40,no,250,0.21811999999999998,0.07905796762232598,-0.22316458780561843,0.35425856942494527,0.10449248330685457,187,0.21518716577540103,0.09303151198531667,-0.17147623511925592,0.5425329750248855,0.22220661600031755
ruptura_55,3.0,40,sí,263,0.2244486692015209,0.08068430052007525,-0.23600735440916343,0.34187197565120675,0.10449248330685457,232,0.15176724137931033,0.07722717844730331,-0.1310415484521782,0.5893335309257759,0.22220661600031755
retroceso,3.0,40,sí,218,0.2242201834862385,0.06655421353508206,-0.19494788127629425,0.34139490565048314,0.10449248330685457,195,0.1594871794871795,0.08706235462357137,-0.15955544094036211,0.5456558178803387,0.22220661600031755
retroceso,3.0,20,no,362,0.14334254143646405,0.07178678118780746,-0.2141904704042772,0.3351539452353429,0.10449248330685457,273,0.1653113553113553,0.11138076479379366,-0.1806697159387659,0.6164882930991255,0.22220661600031755
ruptura_55,3.0,20,sí,341,0.15530791788856302,0.061713136145694625,-0.19216035824714794,0.32115435622950905,0.10449248330685457,293,0.16593856655290104,0.11246186826712101,-0.1398566662317572,0.8041223296482692,0.22220661600031755
retroceso,3.0,20,sí,294,0.1452721088435374,0.05452863917020401,-0.1720855943286722,0.31686928463086733,0.10449248330685457,260,0.16046153846153846,0.100767435971026,-0.14958243208174682,0.6736582268963014,0.22220661600031755
ruptura_20,5.0,40,sí,234,0.3094444444444444,0.0916728614576392,-0.2929266302827168,0.3129550268924391,0.10449248330685457,202,0.2923267326732673,0.13549447581547547,-0.20389283071595177,0.6645377149343531,0.22220661600031755
retroceso,5.0,40,sí,199,0.23030150753768844,0.06036502469640315,-0.19862548313359507,0.3039137966793604,0.10449248330685457,178,0.1273033707865168,0.05054909131672858,-0.17478375648809608,0.2892093197468914,0.22220661600031755
retroceso,5.0,20,no,354,0.14522598870056497,0.0723093571771567,-0.24685774053041942,0.29291914048061324,0.10449248330685457,266,0.18639097744360902,0.1302731270338935,-0.15492630614052327,0.8408715748746469,0.22220661600031755
ruptura_20,3.0,20,sí,383,0.09553524804177546,0.04511852349561973,-0.17438032705208273,0.2587363165235035,0.10449248330685457,318,0.08801886792452827,0.0700839571177545,-0.1770657043031738,0.39580763193845825,0.22220661600031755
retroceso,5.0,20,sí,287,0.13644599303135888,0.052199598509435896,-0.20383226859810588,0.25609094609233507,0.10449248330685457,252,0.1787301587301587,0.11125746513944468,-0.14235518783881118,0.7815483708638813,0.22220661600031755
ruptura_20,5.0,20,no,411,0.12374695863746957,0.048911184361941196,-0.1942878395478893,0.2517459892279324,0.10449248330685457,319,0.10539184952978053,0.06825560920543206,-0.19670218101990622,0.3469997579667132,0.22220661600031755
ruptura_55,5.0,20,no,373,0.10882037533512065,0.03811835953880505,-0.19094594640267948,0.19962905867830533,0.10449248330685457,294,0.06472789115646256,0.04753784033935338,-0.17347217535232773,0.27403726414799634,0.22220661600031755
ruptura_55,3.0,20,no,388,0.10469072164948455,0.036411777992036765,-0.19228233287130825,0.18936621710537824,0.10449248330685457,306,0.11647058823529409,0.07164633884092497,-0.1786887655779913,0.4009560344164664,0.22220661600031755
ruptura_20,3.0,20,no,448,0.05763392857142854,0.02226766748825293,-0.1932428643730224,0.11523151222427025,0.10449248330685457,331,0.06719033232628398,0.038616809735099844,-0.1977043658043186,0.195326034293656,0.22220661600031755
ruptura_20,3.0,40,no,331,0.07181268882175225,0.006204669935049534,-0.23636594320695925,0.02625027045295099,0.10449248330685457,249,0.23614457831325297,0.1399957585459326,-0.1907300904141167,0.7339993298486422,0.22220661600031755
ruptura_20,3.0,40,sí,280,0.05489285714285711,-0.010771190117785934,-0.27931914961104454,-0.03856230456373991,0.10449248330685457,253,0.1560474308300395,0.09191153428094334,-0.22795645034719703,0.4031977780885527,0.22220661600031755
