ticker,cedear,sector,ratio,precio_usd,precio_ars,fecha_ars,ccl_implicito,estado,prima
AAPL,AAPL,Tecnología,20.0,335.489990234375,27140.0,2026-09-25,1617.9320271844688,normal,0.0006693718816914718
MSFT,MSFT,Tecnología,30.0,512.9550170898438,27580.0,2026-09-25,1613.0069351774785,normal,-0.002376731812584909
GOOGL,GOOGL,Tecnología,58.0,342.3550109863281,9585.0,2026-09-25,1623.8406979887932,normal,0.004323805938917014
AMZN,AMZN,Tecnología,144.0,247.61000061035156,2795.0,2026-09-25,1625.4593877787581,normal,0.005324943976968033
NVDA,NVDA,Tecnología,24.0,223.77000427246094,15140.0,2026-09-25,1623.8101312165825,normal,0.004304900798135725
META,META,Tecnología,24.0,751.719970703125,51200.0,2026-09-25,1634.6512636223244,normal,0.01100999654546353
TSLA,TSLA,Tecnología,15.0,372.8599853515625,40000.0,2026-09-25,1609.1831346135777,normal,-0.0047417014430692905
AVGO,AVGO,Tecnología,39.0,350.614990234375,14600.0,2026-09-25,1624.0035818758752,normal,0.004424547449831673
ORCL,ORCL,Tecnología,3.0,138.6300048828125,74650.0,2026-09-25,1615.4511441394716,normal,-0.0008650211809575481
ADBE,ADBE,Tecnología,44.0,239.375,8770.0,2026-09-25,1612.0313315926892,normal,-0.0029801296129828847
CRM,CRM,Tecnología,18.0,237.31509399414062,21250.0,2026-09-25,1611.7811706045297,normal,-0.003134850846436943
AMD,AMD,Tecnología,10.0,631.880615234375,103075.0,2026-09-25,1631.2416857695148,normal,0.008901218135105804
INTC,INTC,Tecnología,5.0,124.55159759521484,40600.0,2026-09-25,1629.8466171404539,normal,0.008038386801453523
QCOM,QCOM,Tecnología,11.0,200.1999969482422,29580.0,2026-09-25,1625.2747500496748,normal,0.005210748005021859
CSCO,CSCO,Tecnología,5.0,107.56999969482422,34940.0,2026-09-25,1624.0587570477214,normal,0.0044586725574551345
IBM,IBM,Tecnología,15.0,227.90499877929688,24460.0,2026-09-25,1609.8813188178722,normal,-0.004309883828095273
TSM,TSM,Tecnología,9.0,450.3705139160156,81375.0,2026-09-25,1626.1610770916768,normal,0.005758929454860118
NFLX,NFLX,Tecnología,48.0,71.07499694824219,2407.0,2026-09-25,1625.5505446470147,normal,0.005381323283742745
UBER,UBER,Tecnología,2.0,69.22000122070312,55850.0,2026-09-25,1613.6954352810883,normal,-0.0019509036846760974
PYPL,PYPL,Tecnología,8.0,54.14500045776367,10750.0,2026-09-25,1588.3276253194445,barato,-0.017640555681062486
MELI,MELI,Latam / Brasil,120.0,1740.0,23300.0,2026-09-25,1606.896551724138,normal,-0.006155922451916651
GLOB,GLOB,Latam / Brasil,18.0,35.040000915527344,3120.0,2026-09-25,1602.739684150913,normal,-0.008726889583788644
NU,NU,Latam / Brasil,2.0,13.529999732971191,10920.0,2026-09-25,1614.190719219174,normal,-0.001644577177196127
VIST,VIST,Latam / Brasil,3.0,66.7699966430664,36180.0,2026-09-25,1625.5804321845974,normal,0.005399808326969069
PBR,PBR,Latam / Brasil,1.0,20.28499984741211,33000.0,2026-09-25,1626.8178579360465,normal,0.006165139644136675
VALE,VALE,Latam / Brasil,2.0,13.454999923706055,10880.0,2026-09-25,1617.2426698911797,normal,0.000243013593402841
JPM,JPM,Financieras,15.0,339.92999267578125,36680.0,2026-09-25,1618.5685636888484,normal,0.0010630612167901177
BAC,BA-C,Financieras,41.0,56.095001220703125,22680.0,2026-09-25,16576.87814893579,ratio o precio a revisar,
C,C,Financieras,3.0,133.35000610351562,71500.0,2026-09-25,1608.5488577592569,normal,-0.005133993214755717
V,V,Financieras,18.0,365.385009765625,32780.0,2026-09-25,1614.8445727931728,normal,-0.0012401774655873554
BRK-B,BRKB,Financieras,22.0,503.54998779296875,37040.0,2026-09-25,1618.270320234885,normal,0.0008786016197670499
COIN,COIN,Financieras,27.0,194.5749969482422,11600.0,2026-09-25,1609.6621092755952,normal,-0.004445462005234435
MSTR,MSTR,Financieras,20.0,158.53500366210938,12770.0,2026-09-25,1611.0006881782526,normal,-0.0036175688136599327
KO,KO,Consumo,5.0,87.78500366210938,28500.0,2026-09-25,1623.2840924458178,normal,0.003979552836983924
PEP,PEP,Consumo,18.0,127.8499984741211,11510.0,2026-09-25,1620.4927842993802,normal,0.0022531659908784363
PG,PG,Consumo,15.0,145.7100067138672,15700.0,2026-09-25,1616.2239321178174,normal,-0.00038706212711836496
MCD,MCD,Consumo,24.0,237.35000610351562,16040.0,2026-09-25,1621.9085321283164,normal,0.0031287871337455364
WMT,WMT,Consumo,18.0,107.08000183105469,9680.0,2026-09-25,1627.1945930194033,normal,0.006398145266681032
HD,HD,Consumo,32.0,292.57000732421875,14750.0,2026-09-25,1613.2890870011204,normal,-0.0022022246742161578
NKE,NKE,Consumo,12.0,35.744998931884766,4785.0,2026-09-25,1606.378562478596,normal,-0.006476291889117247
DIS,DISN,Consumo,12.0,105.01000213623047,14140.0,2026-09-25,1615.8460770229538,normal,-0.0006207604618361229
JNJ,JNJ,Salud,15.0,269.8699951171875,29080.0,2026-09-25,1616.3338195881536,normal,-0.00031909819286690677
PFE,PFE,Salud,4.0,28.200000762939453,11430.0,2026-09-25,1621.2765518817075,normal,0.0027379157832869705
MRK,MRK,Salud,5.0,147.99009704589844,47940.0,2026-09-24,1619.7029719201967,normal,0.0017646775722659491
LLY,LLY,Salud,56.0,1166.0,33820.0,2026-09-25,1624.2881646655233,normal,0.004600558108240671
XOM,XOM,Energía / Industria,10.0,160.89999389648438,26080.0,2026-09-25,1620.882597222388,normal,0.002494260082758659
CVX,CVX,Energía / Industria,16.0,205.52999877929688,20730.0,2026-09-25,1613.779019948159,normal,-0.001899207683304427
CAT,CAT,Energía / Industria,20.0,814.7050170898438,66000.0,2026-09-25,1620.2183272604464,normal,0.002083417974185764
BA,BA,Energía / Industria,24.0,197.64700317382812,13320.0,2026-09-25,1617.4290268334873,normal,0.0003582728757900444
BABA,BABA,China,9.0,110.12999725341797,19840.0,2026-09-25,1621.3566190246886,normal,0.002787436242941199
AAL,AAL,Energía / Industria,2.0,13.439000129699707,10880.0,2026-09-25,1619.1680772374712,normal,0.00143385234772464
ABBV,ABBV,Salud,10.0,263.3450012207031,42660.0,2026-09-25,1619.9282235187627,normal,0.0019039926806050378
ABNB,ABNB,Consumo,15.0,154.22999572753906,16580.0,2026-09-25,1612.526790439329,normal,-0.002673694926895953
ABT,ABT,Salud,4.0,100.72000122070312,40780.0,2026-09-25,1619.539297289747,normal,0.0016634469971286148
ACN,ACN,Tecnología,75.0,178.91000366210938,3815.0,2026-09-25,1599.2677555380167,normal,-0.010874231107357413
ADI,ADI,Tecnología,15.0,392.7900085449219,42220.0,2026-09-25,1612.3118873263597,normal,-0.0028066096349660397
ADP,ADP,Tecnología,6.0,263.2300109863281,70900.0,2026-09-24,1616.077127399029,normal,-0.00047785888697671197
AEM,AEM,Materiales / Minería,6.0,193.75,52325.0,2026-09-25,1620.3870967741937,normal,0.0021877996666650468
AIG,AIG,Financieras,5.0,74.23500061035156,24180.0,2026-09-24,1628.6118273856566,normal,0.007274685813044801
AMAT,AMAT,Tecnología,5.0,480.31500244140625,156325.0,2026-09-25,1627.3174812926036,normal,0.006474150024043501
