puntaje,top_n,rebalanceo_dias,buffer,max_por_sector,in_retorno_anual (CAGR),in_max_drawdown,in_retorno/caida (MAR),in_compras_por_anio,in_spy_retorno_anual,out_retorno_anual (CAGR),out_max_drawdown,out_retorno/caida (MAR),out_compras_por_anio,out_spy_retorno_anual
r126,5,21,10,no,0.7344846572050825,-0.3844223696331289,1.9106189317391526,16.054945054945055,0.09991605249306557,0.7826992490786571,-0.37338966017555675,2.096199580648953,18.517450404114623,0.2233035152271916
r126,5,21,10,3,0.7185265185560634,-0.4133770715091186,1.7381866776813082,16.62833594976452,0.09991605249306557,0.8291090748491972,-0.36528266223674677,2.269773960177271,19.85929463629684,0.2233035152271916
r126,8,21,10,no,0.6516747518924599,-0.37520549749139065,1.7368475575372215,28.096153846153847,0.09991605249306557,0.520417340787152,-0.3512154557045921,1.4817609314576288,28.715466568699487,0.2233035152271916
r126,5,5,10,no,0.6699777585126521,-0.3995602097027854,1.6767879839962492,23.126766091051806,0.09991605249306557,0.6040275671293776,-0.3853131609517241,1.5676276554826951,23.079720793534168,0.2233035152271916
r126,8,21,10,3,0.6018972184865583,-0.3832151359602557,1.5706509529649235,30.0074568288854,0.09991605249306557,0.5137165852644727,-0.33074398036312636,1.5532152231477028,30.862417340191037,0.2233035152271916
r126,5,21,5,no,0.6390439755268436,-0.41802069244377216,1.528737660786496,18.539638932496075,0.09991605249306557,0.7720525858044247,-0.3927404702789543,1.9658085790243462,21.20113886847906,0.2233035152271916
r126,5,5,10,3,0.6162112355911598,-0.4042342796322048,1.5243913409615422,24.082417582417584,0.09991605249306557,0.669947163552844,-0.3853131609517241,1.7387082286472477,24.958302718589273,0.2233035152271916
r126,5,5,5,no,0.590731207554811,-0.4066458562328391,1.4526920623938868,29.434065934065934,0.09991605249306557,0.6406070149552732,-0.4202002517741362,1.5245279179404414,28.715466568699487,0.2233035152271916
r126,5,21,5,3,0.6621829200793339,-0.4587854975034581,1.4433388232249924,19.304160125588698,0.09991605249306557,0.8382579711334877,-0.3927404702789543,2.1343814416123013,22.811351947097723,0.2233035152271916
r126,5,5,5,3,0.5682081855075076,-0.3993400238483067,1.4228681113199593,32.10989010989011,0.09991605249306557,0.7343192814113322,-0.382556464985885,1.9195056119060123,31.935892725936814,0.2233035152271916
r126,8,21,5,3,0.5713242148063209,-0.40422279636717784,1.4133893979778311,35.74136577708006,0.09991605249306557,0.6174930788060131,-0.4139224724146364,1.4918085389368638,38.376745040411464,0.2233035152271916
r126,8,21,5,no,0.581904359576406,-0.4238426914570369,1.3729253123983407,34.021193092621665,0.09991605249306557,0.5723463434705265,-0.41400743693630093,1.382454256633529,35.69305657604703,0.2233035152271916
r126,8,5,10,no,0.5078344892575999,-0.3789889206205438,1.3399718609876212,37.07927786499215,0.09991605249306557,0.565894112065604,-0.36664074993780404,1.5434566729464763,39.98695811903013,0.2233035152271916
r252,5,21,10,3,0.4711400014153122,-0.3689189153157708,1.2770828001921417,9.365384615384615,0.09991605249306557,0.691234467758421,-0.3521455722692327,1.962922501919002,10.466385011021309,0.2233035152271916
r126,8,5,5,no,0.4879817566997511,-0.386921425026171,1.2611908391135085,51.414050235478804,0.09991605249306557,0.5765008452732339,-0.35319978068108626,1.6322231122611377,48.84313005143277,0.2233035152271916
r126,10,21,10,no,0.4672647149173539,-0.3876313963598902,1.2054356775670705,35.74136577708006,0.09991605249306557,0.4544112918206249,-0.34442977878043035,1.3193147625899861,36.7665319617928,0.2233035152271916
r126,10,21,5,no,0.4779738516235654,-0.3966597329420605,1.2049971598538398,41.85753532182103,0.09991605249306557,0.501973357772884,-0.4055357905635433,1.2378028510759274,44.01249081557678,0.2233035152271916
r252,5,21,10,no,0.4543900857201313,-0.3912423157760476,1.161403220965061,8.600863422291994,0.09991605249306557,0.5772319276603206,-0.35510710475972684,1.6255150063834634,10.198016164584864,0.2233035152271916
r252,5,21,5,no,0.4300402408277493,-0.3741363385455885,1.149421204311457,10.703296703296703,0.09991605249306557,0.6442117797664548,-0.4033669729474022,1.5970860853063893,12.61333578251286,0.2233035152271916
r126,10,21,5,3,0.45385570424243493,-0.3952987690920403,1.148133360710669,43.95996860282575,0.09991605249306557,0.49307961196497363,-0.3859390358668583,1.277610104553085,46.69617927994122,0.2233035152271916
r252,5,5,10,3,0.44567198434832633,-0.39901013971538235,1.1169440071528716,11.65894819466248,0.09991605249306557,0.7550634548094286,-0.33764100367160144,2.2362907543771646,13.150073475385746,0.2233035152271916
r126,8,5,10,3,0.4501832291049217,-0.40793443939754626,1.1035675972094197,42.04866562009419,0.09991605249306557,0.6090812407695623,-0.350173962197884,1.7393675901732788,48.03802351212344,0.2233035152271916
r252,5,5,10,no,0.4313310972205675,-0.3941835408314295,1.0942392376677745,10.512166405023548,0.09991605249306557,0.5913071265658405,-0.39812799141209776,1.4852186716853706,11.539860396767084,0.2233035152271916
r252,5,21,5,3,0.4071798659595771,-0.38023153423303235,1.0708734791839463,11.65894819466248,0.09991605249306557,0.7877595349433351,-0.3515036941313123,2.241113103775943,13.41844232182219,0.2233035152271916
