fecha,efectivo,acciones,spy_en_cartera,total,posiciones,spy
2017-10-06,10000.0,0.0,0.0,10000.0,0,10000.0
2017-10-09,0.0,9988.87,0.0,9988.87,8,9983.49
2017-10-10,0.0,10035.31,0.0,10035.31,8,10009.83
2017-10-11,0.0,10107.95,0.0,10107.95,8,10025.55
2017-10-12,0.0,10126.43,0.0,10126.43,8,10010.61
2017-10-13,0.0,10236.74,0.0,10236.74,8,10022.8
2017-10-16,0.0,10266.56,0.0,10266.56,8,10036.17
2017-10-17,0.0,10150.19,0.0,10150.19,8,10043.24
2017-10-18,0.0,10168.9,0.0,10168.9,8,10053.07
2017-10-19,0.0,10167.0,0.0,10167.0,8,10055.82
2017-10-20,0.0,10253.98,0.0,10253.98,8,10107.71
2017-10-23,0.0,10152.7,0.0,10152.7,8,10068.4
2017-10-24,0.0,10334.85,0.0,10334.85,8,10086.09
2017-10-25,0.0,10233.5,0.0,10233.5,8,10036.17
2017-10-26,0.0,10215.66,0.0,10215.66,8,10049.14
2017-10-27,0.0,10330.55,0.0,10330.55,8,10131.3
2017-10-30,0.0,10356.84,0.0,10356.84,8,10093.56
2017-10-31,0.0,10397.23,0.0,10397.23,8,10109.29
2017-11-01,0.0,10465.96,0.0,10465.96,8,10122.65
2017-11-02,0.0,10502.42,0.0,10502.42,8,10126.59
2017-11-03,0.0,10516.43,0.0,10516.43,8,10160.4
2017-11-06,0.0,10664.68,0.0,10664.68,8,10176.12
2017-11-07,0.0,10641.76,0.0,10641.76,8,10169.05
2017-11-08,0.0,10594.39,0.0,10594.39,8,10186.34
2017-11-09,0.0,10505.65,0.0,10505.65,8,10149.39
2017-11-10,0.0,10570.7,0.0,10570.7,8,10146.24
2017-11-13,0.0,10551.53,0.0,10551.53,8,10155.68
2017-11-14,0.0,10561.05,0.0,10561.05,8,10132.09
2017-11-15,0.0,10442.28,0.0,10442.28,8,10081.38
2017-11-16,0.0,10619.4,0.0,10619.4,8,10167.08
2017-11-17,0.0,10546.92,0.0,10546.92,8,10137.2
2017-11-20,0.0,10617.58,0.0,10617.58,8,10154.5
2017-11-21,0.0,10739.46,0.0,10739.46,8,10220.94
2017-11-22,0.0,10707.87,0.0,10707.87,8,10211.9
2017-11-24,0.0,10753.1,0.0,10753.1,8,10235.48
2017-11-27,0.0,10683.92,0.0,10683.92,8,10230.37
2017-11-28,0.0,10757.74,0.0,10757.74,8,10334.16
2017-11-29,0.0,10437.76,0.0,10437.76,8,10327.87
2017-11-30,0.0,10597.55,0.0,10597.55,8,10418.29
2017-12-01,0.0,10502.51,0.0,10502.51,8,10396.66
