fecha,ticker,lado,cantidad,precio,monto_usd,motivo,retorno,dias
2017-10-09,NVDA,COMPRA,443.242952,4.5054,2000.0,entra: puesto #1,,
2017-10-09,BA,COMPRA,8.13426,245.5054,2000.0,entra: puesto #2,,
2017-10-09,BABA,COMPRA,11.857278,168.4202,2000.0,entra: puesto #3,,
2017-10-09,NFLX,COMPRA,100.301583,19.91,2000.0,entra: puesto #4,,
2017-10-09,PYPL,COMPRA,30.502644,65.4699,2000.0,entra: puesto #5,,
2017-12-07,NFLX,VENTA,100.301583,18.571,1859.91,sale: cayó al puesto #14,-0.07,43.0
2017-12-07,CAT,COMPRA,15.920835,116.6472,1859.91,entra: puesto #3,,
2018-01-09,BABA,VENTA,11.857278,179.8634,2129.49,sale: cayó al puesto #16,0.0647,66.0
2018-01-09,WMT,COMPRA,71.510894,29.7339,2129.49,entra: puesto #4,,
2018-03-12,WMT,VENTA,71.510894,26.0034,1856.74,sale: cayó al puesto #22,-0.1281,44.0
2018-03-12,NFLX,COMPRA,55.580864,33.356,1856.74,entra: puesto #1,,
2018-04-11,PYPL,VENTA,30.502644,75.3596,2295.22,sale: cayó al puesto #13,0.1476,132.0
2018-04-11,CAT,VENTA,15.920835,122.9735,1954.9,sale: cayó al puesto #20,0.0511,89.0
2018-04-11,AMZN,COMPRA,29.481998,71.972,2125.06,entra: puesto #2,,
2018-04-11,PBR,COMPRA,531.397779,3.993,2125.06,entra: puesto #5,,
2018-06-11,PBR,VENTA,531.397779,2.8296,1501.38,sale: cayó al puesto #15,-0.2935,43.0
2018-06-11,VALE,COMPRA,212.484786,7.0552,1501.38,entra: puesto #4,,
2018-07-11,VALE,VENTA,212.484786,6.4906,1377.09,sale: cayó al puesto #20,-0.0828,22.0
2018-07-11,GLOB,COMPRA,24.034726,57.21,1377.09,entra: puesto #6,,
2018-08-09,NVDA,VENTA,443.242952,6.3997,2832.36,sale: cayó al puesto #16,0.4162,218.0
2018-08-09,BA,VENTA,8.13426,334.7294,2718.69,sale: cayó al puesto #19,0.3593,218.0
2018-08-09,AMD,COMPRA,119.178161,19.58,2337.01,entra: puesto #2,,
2018-08-09,NKE,COMPRA,32.77821,71.1908,2337.01,entra: puesto #5,,
2018-08-09,SPY,COMPRA,3.472676,252.1757,877.04,resto a SPY (100% invertido),,
2018-09-10,NFLX,VENTA,55.580864,35.227,1955.01,sale: cayó al puesto #16,0.0529,130.0
2018-09-10,SPY,VENTA,2.459411,255.0108,626.24,fondea compras,0.0082,
2018-09-10,LLY,COMPRA,26.613723,96.844,2581.25,entra: puesto #3,,
2018-10-09,GLOB,VENTA,24.034726,54.5,1307.93,sale: cayó al puesto #16,-0.0502,64.0
2018-10-09,NKE,VENTA,32.77821,71.2598,2332.27,sale: cayó al puesto #11,-0.002,43.0
2018-10-09,SPY,VENTA,1.013265,254.9676,257.96,fondea compras,0.008,
2018-10-09,QCOM,COMPRA,33.445099,58.1896,1949.08,entra: puesto #2,,
2018-10-09,PFE,COMPRA,66.564839,29.237,1949.08,entra: puesto #6,,
2018-11-07,AMZN,VENTA,29.481998,83.65,2462.47,sale: cayó al puesto #15,0.1588,150.0
2018-11-07,QCOM,VENTA,33.445099,52.2194,1743.86,sale: cayó al puesto #12,-0.1053,21.0
2018-11-07,MRK,COMPRA,37.919267,55.3812,2103.17,entra: puesto #3,,
2018-11-07,VALE,COMPRA,261.330255,8.0359,2103.17,entra: puesto #4,,
2018-12-10,AMD,VENTA,119.178161,19.35,2302.64,sale: cayó al puesto #14,-0.0147,87.0
2018-12-10,PBR,COMPRA,560.600541,3.8928,2185.6,entra: puesto #1,,
2018-12-10,SPY,COMPRA,0.500146,233.6574,117.04,resto a SPY (100% invertido),,
2019-01-10,VALE,VENTA,261.330255,7.46,1946.6,sale: cayó al puesto #24,-0.0744,46.0
2019-01-10,SPY,VENTA,0.500146,228.6772,114.2,fondea compras,-0.0242,
2019-01-10,TSLA,COMPRA,92.30186,22.2933,2060.8,entra: puesto #4,,
2019-02-11,TSLA,VENTA,92.30186,20.7733,1914.54,sale: momentum negativo (puesto #39),-0.071,22.0
2019-02-11,GLOB,COMPRA,28.511164,67.05,1914.54,entra: puesto #2,,
2019-03-13,PFE,VENTA,66.564839,27.6589,1838.35,sale: cayó al puesto #25,-0.0568,111.0
2019-03-13,AVGO,COMPRA,82.354402,22.289,1838.35,entra: puesto #2,,
2019-04-11,PBR,VENTA,560.600541,4.7943,2683.67,sale: cayó al puesto #26,0.2279,88.0
2019-04-11,MELI,COMPRA,4.900486,507.0,2488.27,entra: puesto #1,,
2019-04-11,SPY,COMPRA,0.75366,258.8768,195.4,resto a SPY (100% invertido),,
2019-05-13,LLY,VENTA,26.613723,104.5591,2778.53,sale: cayó al puesto #12,0.0764,175.0
2019-05-13,MRK,VENTA,37.919267,58.209,2203.93,sale: cayó al puesto #18,0.0479,133.0
2019-05-13,AMD,COMPRA,90.311619,26.98,2440.26,entra: puesto #3,,
2019-05-13,PYPL,COMPRA,22.897585,106.4133,2440.26,entra: puesto #4,,
2019-05-13,SPY,COMPRA,0.402103,253.1315,101.94,resto a SPY (100% invertido),,
2019-07-12,AVGO,VENTA,82.354402,23.1964,1907.46,sale: cayó al puesto #26,0.0376,87.0
2019-07-12,SPY,VENTA,1.155762,270.061,311.66,fondea compras,0.0482,
2019-07-12,QCOM,COMPRA,35.16516,63.011,2219.12,entra: puesto #4,,
2019-08-12,PYPL,VENTA,22.897585,102.8629,2351.78,sale: cayó al puesto #13,-0.0363,65.0
2019-08-12,QCOM,VENTA,35.16516,60.2529,2115.63,sale: cayó al puesto #20,-0.0466,21.0
2019-08-12,MCD,COMPRA,11.991335,185.9974,2233.7,entra: puesto #4,,
2019-08-12,V,COMPRA,13.233942,168.5331,2233.7,entra: puesto #5,,
2019-09-11,MELI,VENTA,4.900486,551.05,2696.36,sale: cayó al puesto #11,0.0836,109.0
2019-09-11,AMD,VENTA,90.311619,30.38,2739.55,sale: cayó al puesto #12,0.1226,87.0
2019-09-11,PG,COMPRA,24.431677,100.3279,2454.86,entra: puesto #1,,
2019-09-11,QCOM,COMPRA,36.659018,66.8643,2454.86,entra: puesto #3,,
2019-09-11,SPY,COMPRA,1.954528,268.8181,526.2,resto a SPY (100% invertido),,
2019-10-10,GLOB,VENTA,28.511164,95.1,2707.34,sale: cayó al puesto #13,0.4141,173.0
2019-10-10,HD,COMPRA,12.813174,192.913,2475.54,entra: puesto #2,,
